title,abstract,publisher,citations,year
Bayesian inference of networks across multiple sample groups and data types,"In this article, we develop a graphical modeling framework for the inference of networks across multiple sample groups and data types. In medical studies, this setting arises whenever a set of subjects, which may be heterogeneous due to differing disease stage or subtype, is profiled across multiple platforms, such as metabolomics, proteomics, or transcriptomics data. Our proposed Bayesian hierarchical model first links the network structures within each platform using a Markov random field prior to relate edge selection across sample groups, and then links the network similarity parameters across platforms. This enables joint estimation in a flexible manner, as we make no assumptions on the directionality of influence across the data types or the extent of network similarity across the sample groups and platforms. In addition, our model formulation allows the number of variables and number of subjects to differ across the data types, and only requires that we have data for the same set of groups. We illustrate the proposed approach through both simulation studies and an application to gene expression levels and metabolite abundances on subjects with varying severity levels of chronic obstructive pulmonary disease.",BIOSTATISTICS,2,2021
Variable selection in the presence of missing data: resampling and imputation,"In the presence of missing data, variable selection methods need to be tailored to missing data mechanisms and statistical approaches used for handling missing data. We focus on the mechanism of missing at random and variable selection methods that can be combined with imputation. We investigate a general resampling approach (BI-SS) that combines bootstrap imputation and stability selection, the latter of which was developed for fully observed data. The proposed approach is general and can be applied to a wide range of settings. Our extensive simulation studies demonstrate that the performance of BI-SS is the best or close to the best and is relatively insensitive to tuning parameter values in terms of variable selection, compared with several existing methods for both low-dimensional and high-dimensional problems. The proposed approach is further illustrated using two applications, one for a low-dimensional problem and the other for a high-dimensional problem.",BIOSTATISTICS,25,2015
A Bayesian nonparametric approach to correct for underreporting in count data,"We propose a nonparametric compound Poisson model for underreported count data that introduces a latent clustering structure for the reporting probabilities. The latter are estimated with the model's parameters based on experts' opinion and exploiting a proxy for the reporting process. The proposed model is used to estimate the prevalence of chronic kidney disease in Apulia, Italy, based on a unique statistical database covering information on m = 258 municipalities obtained by integrating multisource register information. Accurate prevalence estimates are needed for monitoring, surveillance, and management purposes; yet, counts are deemed to be considerably underreported, especially in some areas of Apulia, one of the most deprived and heterogeneous regions in Italy. Our results agree with previous findings and highlight interesting geographical patterns of the disease. We compare our model to existing approaches in the literature using simulated as well as real data on early neonatal mortality risk in Brazil, described in previous research: the proposed approach proves to be accurate and particularly suitable when partial information about data quality is available.",BIOSTATISTICS,45,2023
Robust combination of multiple diagnostic tests for classifying censored event times,"Recent advancement in technology promises to yield a multitude of tests for disease diagnosis and prognosis. When there are multiple sources of information available, it is often of interest to construct a composite score that can provide better classification accuracy than any individual measurement. In this paper, we consider robust procedures for optimally combining tests when test results are measured prior to disease onset and disease status evolves over time. To account for censoring of disease onset time, the most commonly used approach to combining tests to detect subsequent disease status is to fit a proportional hazards model (Cox, 1972) and use the estimated risk score. However, simulation studies suggested that such a risk score may have poor accuracy when the proportional hazards assumption fails. We propose the use of a nonparametric transformation model (Han, 1987) as a working model to derive an optimal composite score with theoretical justification. We demonstrate that the proposed score is the optimal score when the model holds and is optimal ""on average"" among linear scores even if the model fails. Time-dependent sensitivity, specificity, and receiver operating characteristic curve functions are used to quantify the accuracy of the resulting composite score. We provide consistent and asymptotically Gaussian estimators of these accuracy measures. A simple model-free resampling procedure is proposed to obtain all consistent variance estimators. We illustrate the new proposals with simulation studies and an analysis of a breast cancer gene expression data set.",BIOSTATISTICS,19,2008
Regression models for group testing data with pool dilution effects,"Group testing is widely used to reduce the cost of screening individuals for infectious diseases. There is an extensive literature on group testing, most of which traditionally has focused on estimating the probability of infection in a homogeneous population. More recently, this research area has shifted towards estimating individual-specific probabilities in a regression context. However, existing regression approaches have assumed that the sensitivity and specificity of pooled biospecimens are constant and do not depend on the pool sizes. For those applications, where this assumption may not be realistic, these existing approaches can lead to inaccurate inference, especially when pool sizes are large. Our new approach, which exploits the information readily available from underlying continuous biomarker distributions, provides reliable inference in settings where pooling would be most beneficial and does so even for larger pool sizes. We illustrate our methodology using hepatitis B data from a study involving Irish prisoners.",BIOSTATISTICS,33,2013
Two-stage linked component analysis for joint decomposition of multiple biologically related data sets,"Integrative analysis of multiple data sets has the potential of fully leveraging the vast amount of high throughput biological data being generated. In p articular such analysis will be powerful in making inference from publicly available collections of genetic, transcriptomic and epigenetic data sets which are designed to study shared biological processes, but which vary in their target measurements, biological variation, unwanted noise, and batch variation. Thus, methods that enable the joint analysis of multiple data sets are needed to gain insights into shared biological processes that would otherwise be hidden by unwanted intra-data set variation. Here, we propose a method called two-stage linked component analysis (2s-LCA) to jointly decompose multiple biologically related experimental data sets with biological and technological relationships that can be structured into the decomposition. The consistency of the proposed method is established and its empirical performance is evaluated via simulation studies. We apply 2s-LCA to jointly analyze four data sets focused on human brain development and identify meaningful patterns of gene expression in human neurogenesis that have shared structure across these data sets.",BIOSTATISTICS,2,2022
Density for solutions to stochastic differential equations with unbounded drift,"Via a special transform and by using the techniques of the Malliavin calculus, we analyze the density of the solution to a stochastic differential equation with unbounded drift.",BRAZILIAN JOURNAL OF PROBABILITY AND STATISTICS,2,2019
Copulas related to Manneville-Pomeau processes,"In this work, we derive the copulas related to Manneville-Pomeau processes. We examine both bidimensional and multidimensional cases and derive some properties for the related copulas. Computational issues, approximations and random. variate generation problems are addressed and simple numerical experiments to test the approximations developed are also performed. In particular, we propose an approximation to the derived copulas which we show to converge uniformly to the true one. To illustrate the usefulness of the theory, we derive a fast procedure to estimate the underlying parameter in Manneville Pomeau processes.",BRAZILIAN JOURNAL OF PROBABILITY AND STATISTICS,1,2013
Dynamics & sparsity in latent threshold factor models: A study in multivariate EEG signal processing,"We discuss Bayesian analysis of multivariate time series with dynamic factor models that exploit time-adaptive sparsity in model parametrizations via the latent threshold approach. One central focus is on the transfer responses of multiple interrelated series to underlying, dynamic latent factor processes. Structured priors on model hyper-parameters are key to the efficacy of dynamic latent thresholding, and MCMC-based computation enables model fitting and analysis. A detailed case study of electroencephalographic (EEG) data from experimental psychiatry highlights the use of latent threshold extensions of time-varying vector autoregressive and factor models. This study explores a class of dynamic transfer response factor models, extending prior Bayesian modeling of multiple EEG series and highlighting the practical utility of the latent thresholding concept in multivariate, non-stationary time series analysis.",BRAZILIAN JOURNAL OF PROBABILITY AND STATISTICS,10,2017
The log-generalized modified Weibull regression model,"For the first time, we introduce the log-generalized modified Weibull regression model based on the modified Weibull distribution [Carrasco, Ortega and Cordeiro Comput. Statist. Data Anal. 53 (2008) 450-462]. This distribution can accommodate increasing, decreasing, bathtub and unimodal shaped hazard functions. A second advantage is that it includes classical distributions reported in lifetime literature as special cases. We also show that the new regression model can be applied to censored data since it represents a parametric family of models that includes as submodels several widely known regression models and therefore can be used more effectively in the analysis of survival data. We obtain maximum likelihood estimates for the model parameters by considering censored data and evaluate local influence on the estimates of the parameters by taking different perturbation schemes. Some global-influence measurements are also investigated. In addition, we define martingale and deviance residuals to detect outliers and evaluate the model assumptions. We demonstrate that our extended regression model is very useful to the analysis of real data and may give more realistic fits than other special regression models.",BRAZILIAN JOURNAL OF PROBABILITY AND STATISTICS,11,2011
The statistical mechanics of stretched polymers,"We describe some recent results concerning the statistical properties of a self-interacting polymer stretched by an external force. We concentrate mainly on the cases of purely attractive or purely repulsive self-interactions, but our results are stable under suitable small perturbations of these pure cases. We provide in particular a precise description of the stretched phase (local limit theorems for the endpoint and local observables, invariance principle, microscopic structure). Our results also characterize precisely the (nontrivial, direction-dependent) critical force needed to trigger the collapsed/stretched phase transition in the attractive case. We also describe some recent progress: first, the determination of the order of the phase transition in the attractive case; second, a proof that a semi-directed polymer in quenched random environment is diffusive in dimensions 4 and higher when the temperature is high enough. In addition, we correct an incomplete argument from Ioffe and Velenik [In Analysis and Stochastics of Growth Processes and Interface Models (2008) 55-79].",BRAZILIAN JOURNAL OF PROBABILITY AND STATISTICS,17,2010
Regression modeling of censored data based on compound scale mixtures of normal distributions,"In the framework of censored regression models, the distribution of the error term can depart significantly from normality, for instance, due to the presence of multimodality, skewness and/or atypical observations. In this paper we propose a novel censored linear regression model where the random errors follow a finite mixture of scale mixtures of normal (SMN) distribution. The SMN is an attractive class of symmetrical heavy-tailed densities that includes the normal, Student-t, slash and the contaminated normal distribution as special cases. This approach allows us to model data with great flexibility, accommodating simultaneously multimodality, heavy tails and skewness depending on the structure of the mixture components. We develop an analytically tractable and efficient EM-type algorithm for iteratively computing the maximum likelihood estimates of the parameters, with standard errors and prediction of the censored values as a by-products. The proposed algorithm has closed-form expressions at the E-step, that rely on formulas for the mean and variance of the truncated SMN distributions. The efficacy of the method is verified through the analysis of simulated and real datasets. The methodology addressed in this paper is implemented in the R package CensMixReg.",BRAZILIAN JOURNAL OF PROBABILITY AND STATISTICS,0,2023
Identifying interacting pairs of sites in Ising models on a countable set,This paper address the problem of identifying pairs of interacting sites from a finite sample of independent realizations of the Ising model. We consider Ising models in a infinite countable set of sites under Dobrushin uniqueness condition. The observed sample contains only the values assigned by the Ising model to a finite set of sites. Our main result is an upperbound for the probability of misidentification of the pairs of interacting sites in this finite set.,BRAZILIAN JOURNAL OF PROBABILITY AND STATISTICS,4,2015
A functional limit theorem for moving averages with weakly dependent heavy-tailed innovations,"Recently a functional limit theorem for sums of moving averages with random coefficients and i.i.d. heavy tailed innovations has been obtained under the assumption that all partial sums of the series of coefficients are a.s. bounded between zero and the sum of the series. The convergence takes place in the space D[0, 1] of cadlag functions with the Skorohod M-2 topology. In this article, we extend this result to the case when the innovations are weakly dependent in the sense of strong mixing and local dependence condition D'.",BRAZILIAN JOURNAL OF PROBABILITY AND STATISTICS,1,2022
An INAR model with discrete Laplace marginal distributions,"In this paper, we first introduce a new thinning operator and derive some of its properties. Then, by using the thinning operator we define a new stationary time series with discrete Laplace marginal distributions with either positive or negative lag-one autocorrelation. We show that this time series is distributed as the difference of two independent NGINAR(1) time series and, using this fact, we discuss some of its properties. The Yule Walker estimators for the unknown parameters are derived and their asymptotic properties are discussed.",BRAZILIAN JOURNAL OF PROBABILITY AND STATISTICS,9,2016
On estimating the scale parameter of the selected uniform population under the entropy loss function,"Let pi(1), ... , pi(k) be k (>= 2) independent populations, where pi(i) denotes the uniform distribution over the interval (0, theta(i)) and theta(i) > 0 (i = 1, ... , k) is an unknown scale parameter. Let theta([1]) <=center dot center dot center dot <= theta([k]) be the ordered values oft pi(1), ... , pi(k). The population pi((k)) (pi((1))) associated with the unknown parameter theta([k]) (theta([1])) is called the best (worst) population. For selecting the best population, we consider a general class of selection rules based on the natural estimators of theta(i), i = 1, ... , k. Under the entropy loss function, we consider the problem of estimating the scale parameter theta(S) of the population selected using a fixed selection rule from this class. We derive the uniformly minimum risk unbiased estimator of theta(S) and two natural estimators of theta(S) are also considered. We derive a general result for improving a scale invariant estimator of theta(S) under the entropy loss function. A simulation study on the performances of various competing estimators of theta(S) is also reported. Finally, we provide similar results for the problem of estimating the scale parameter of selected population when the selection goal is that of selecting the worst uniform population.",BRAZILIAN JOURNAL OF PROBABILITY AND STATISTICS,8,2017
Seriation of asymmetric matrices using integer linear programming,"Integer linear programming approaches for seriation of asymmetric n x n proximity matrices have generally been perceived as intractable for problems of practical size. However, to date, no computational evidence has been provided regarding the effectiveness (or ineffectiveness) of such approaches. This paper presents an evaluation of an integer linear programming method for asymmetric seriation using five moderately sized matrices (15 less than or equal to n less than or equal to 36) from the psychological literature, as well as 80 synthetic matrices (20 less than or equal to n less than or equal to 30). The solution to the linear programming relaxation of the integer-programming model was integer-optimal for each of the five empirical matrices and many of the synthetic matrices. In such instances, branch-and-bound integer programming was not required and optimal orderings were obtained within a few seconds. In all cases where the solution to the linear programming relaxation was not integer-optimal, branch-and-bound integer programming was able to find an optimal seriation in 18 minutes or less. A pragmatic solution strategy for larger matrices (n > 30) is also presented. This approach exploits the fact that, in many instances, only a modest percentage of all possible transitivity constraints are required to obtain an optimal solution.",BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,12,2001
Optimum sample size allocation to minimize cost or maximize power for the two-sample trimmed mean test,"When planning a study, sample size determination is one of the most important tasks facing the researcher. The size will depend on the purpose of the study, the cost limitations, and the nature of the data. By specifying the standard deviation ratio and/or the sample size ratio, the present study considers the problem of heterogeneous variances and non-normality for Yuen's two-group test and develops sample size formulas to minimize the total cost or maximize the power of the test. For a given power, the sample size allocation ratio can be manipulated so that the proposed formulas can minimize the total cost, the total sample size, or the sum of total sample size and total cost. On the other hand, for a given total cost, the optimum sample size allocation ratio can maximize the statistical power of the test. After the sample size is determined, the present simulation applies Yuen's test to the sample generated, and then the procedure is validated in terms of Type I errors and power. Simulation results show that the proposed formulas can control Type I errors and achieve the desired power under the various conditions specified. Finally, the implications for determining sample sizes in experimental studies and future research are discussed.",BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,14,2009
Coherent psychometric modelling with Bayesian nonparametrics,"In this paper we argue that model selection, as commonly practised in psychometrics, violates certain principles of coherence. On the other hand, we show that Bayesian nonparametrics provides a coherent basis for model selection, through the use of a 'nonparametric' prior distribution that has a large support on the space of sampling distributions. We illustrate model selection under the Bayesian nonparametric approach, through the analysis of real questionnaire data. Also, we present ways to use the Bayesian nonparametric framework to define very flexible psychometric models, through the specification of a nonparametric prior distribution that supports all distribution functions for the inverse link, including the standard logistic distribution functions. The Bayesian nonparametric approach provides a coherent method for model selection that can be applied to any statistical model, including psychometric models. Moreover, under a 'non-informative' choice of nonparametric prior, the Bayesian nonparametric approach is easy to apply, and selects the model that maximizes the log likelihood. Thus, under this choice of prior, the approach can be extended to non-Bayesian settings where the parameters of the competing models are estimated by likelihood maximization, and it can be used with any psychometric software package that routinely reports the model log likelihood.",BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,12,2009
Analysis of categorical moderators in mixed-effects meta-analysis: Consequences of using pooled versus separate estimates of the residual between-studies variances,"Subgroup analyses allow us to examine the influence of a categorical moderator on the effect size in meta-analysis. We conducted a simulation study using a dichotomous moderator, and compared the impact of pooled versus separate estimates of the residual between-studies variance on the statistical performance of the Q(B(P)) and Q(B(S)) tests for subgroup analyses assuming a mixed-effects model. Our results suggested that similar performance can be expected as long as there are at least 20 studies and these are approximately balanced across categories. Conversely, when subgroups were unbalanced, the practical consequences of having heterogeneous residual between-studies variances were more evident, with both tests leading to the wrong statistical conclusion more often than in the conditions with balanced subgroups. A pooled estimate should be preferred for most scenarios, unless the residual between-studies variances are clearly different and there are enough studies in each category to obtain precise separate estimates.",BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,30,2017
Sample size determination for a matched-pairs study with incomplete data using exact approach,"This research was motivated by a clinical trial design for a cognitive study. The pilot study was a matched-pairs design where some data are missing, specifically the missing data coming at the end of the study. Existing approaches to determine sample size are all based on asymptotic approaches (e.g., the generalized estimating equation(GEE) approach). When the sample size in a clinical trial is small to medium, these asymptotic approaches may not be appropriate for use due to the unsatisfactory Type I and II error rates. For this reason, we consider the exact unconditional approach to compute the sample size for a matched-pairs study with incomplete data. Recommendations are made for each possible missingness pattern by comparing the exact sample sizes based on three commonly used test statistics, with the existing sample size calculation based on the GEE approach. An example from a real surgeon-reviewers study is used to illustrate the application of the exact sample size calculation in study designs.",BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,7,2018
An investigation of DIF mechanisms in the context of differential testlet effects,"This study investigated differential item functioning (DIF) mechanisms in the context of differential testlet effects across subgroups. Specifically, we investigated DIF manifestations when the stochastic ordering assumption on the nuisance dimension in a testlet does not hold. DIF hypotheses were formulated analytically using a parametric marginal item response function approach and compared with empirical DIF results from a unidimensional item response theory approach. The comparisons were made in terms of type of DIF (uniform or non-uniform) and direction (whether the focal or reference group was advantaged). In general, the DIF hypotheses were supported by the empirical results, showing the usefulness of the parametric approach in explaining DIF mechanisms. Both analytical predictions of DIF and the empirical results provide insights into conditions where a particular type of DIF becomes dominant in a specific DIF direction, which is useful for the study of DIF causes.",BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,2,2015
Standard errors of the principal component loadings for unstandardized and standardized variables,"The asymptotic standard errors of the estimates of the principal component loadings for standardized variables are derived under the assumption of multivariate normality. The standard errors are obtained for the usual unrotated case where a loading matrix is orthogonal and fur the cases with orthogonally or obliquely rotated components. The corresponding standard errors for unstandardized variables and the asymptotic correlations among the estimators of the parameters for the unstandardized and standardized variables are simultaneously derived, together with the standard errors for the standardized variables. Results of a simulation illustrate the accuracy of the theoretical asymptotic standard errors and correlations.",BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,15,2000
"Decision making on ambiguous stimuli such as prosody by subjects suffering from paranoid schizophrenia, alcohol dependence, and without psychiatric diagnosis","The aim of this study is the empirical verification of the Bayesian approach applied to the description of the decision-making process with regard to prosodic stimuli in different psychopathological states. Using the Bayesian formalism, the interpretation of a disturbance in internal representation of the contextual information in schizophrenia was given. The results obtained satisfied the formula derived from Bayes' theorem in all tested except a schizophrenic group. Results were interpreted as reflecting cognitive flexibility, and discussed in the context of social adaptation. Although the investigation was based on psychopathological grounds, the results may be applied to the functioning of working memory in general.",BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,0,2011
A goodness of fit test for sparse 2p contingency tables,"When a model is fitted to data in a 20 contingency table many cells are likely to have very small expected frequencies. This sparseness invalidates the usual approximation to the distribution of the chi-squared or log-likelihood tests of goodness of fit. We present a solution to this problem by proposing a test based on a comparison of the observed and expected frequencies of the second-order margins of the table. A X 2 approximation to the sampling distribution is provided using asymptotic moments. This can be straightforwardly calculated from the expected cell frequencies. The new test is applied to several previously published examples relating to the fitting of latent variable models, but its application is quite general.",BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,52,2002
A semiparametric approach for item response function estimation to detect item misfit,"When scaling data using item response theory, valid statements based on the measurement model are only permissible if the model fits the data. Most item fit statistics used to assess the fit between observed item responses and the item responses predicted by the measurement model show significant weaknesses, such as the dependence of fit statistics on sample size and number of items. In order to assess the size of misfit and to thus use the fit statistic as an effect size, dependencies on properties of the data set are undesirable. The present study describes a new approach and empirically tests it for consistency. We developed an estimator of the distance between the predicted item response functions (IRFs) and the true IRFs by semiparametric adaptation of IRFs. For the semiparametric adaptation, the approach of extended basis functions due to Ramsay and Silverman (2005) is used. The IRF is defined as the sum of a linear term and a more flexible term constructed via basis function expansions. The group lasso method is applied as a regularization of the flexible term, and determines whether all parameters of the basis functions are fixed at zero or freely estimated. Thus, the method serves as a selection criterion for items that should be adjusted semiparametrically. The distance between the predicted and semiparametrically adjusted IRF of misfitting items can then be determined by describing the fitting items by the parametric form of the IRF and the misfitting items by the semiparametric approach. In a simulation study, we demonstrated that the proposed method delivers satisfactory results in large samples (i.e., N >= 1,000).",BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,1,2021
Variation pattern classification of functional data,"A new classification method for functional data is proposed in this article. This work is motivated by the need to identify features that discriminate between neurological conditions on which local field potentials (LFPs) were recorded. Regardless of the condition, these LFPs have zero mean, and thus the first moments of these random processes do not have discriminating power. We propose the variation pattern classification (VPC) method which employs the second-moment structure as the discriminating feature and uses the Hilbert-Schmidt norm to measure the discrepancy between the second-moment structure of different groups. The proposed VPC method is demonstrated to be sensitive to the discrepancy, potentially leading to a higher rate of classification. One important innovation lies in the dimension reduction where the VPC method adaptively determines the basis functions (discriminative feature functions) that account for the major discrepancy. In addition, the selected discriminative feature functions provide insights into the discrepancy between different groups because they reveal the features of variation pattern that differentiate groups. Consistency properties are established and, furthermore, simulation studies and the analysis of rat brain LFP trajectories empirically demonstrate the advantages and effectiveness of the proposed method.",CANADIAN JOURNAL OF STATISTICS-REVUE CANADIENNE DE STATISTIQUE,0,2022
A unified view on skewed distributions arising from selections,"Parametric families of multivariate nonnormal distributions have received considerable attention in the past few decades. The authors propose a new definition of a selection distribution that encompasses many existing families of multivariate skewed distributions. Their work is motivated by examples that involve various forms of selection mechanisms and lead to skewed distributions. They give the main properties of selection distributions and show how various families of multivariate skewed distributions, such as the skew-normal and skew-elliptical distributions, arise as special cases. The authors further introduce several methods of constructing selection distributions based on linear and nonlinear selection mechanisms.",CANADIAN JOURNAL OF STATISTICS-REVUE CANADIENNE DE STATISTIQUE,155,2006
Classified generalized linear mixed model prediction incorporating pseudo-prior information,"We develop a method of classified mixed model prediction based on generalized linear mixed models that incorporate pseudo-prior information to improve prediction accuracy. We establish consistency of the proposed method both in terms of prediction of the true mixed effect of interest and in terms of correctly identifying the potential class corresponding to the new observations if such a class matching one of the training data classes exists. Empirical results, including simulation studies and real-data validation, fully support the theoretical findings.",CANADIAN JOURNAL OF STATISTICS-REVUE CANADIENNE DE STATISTIQUE,0,2023
On the effect of misspecifying the error density in a deconvolution problem,"The author studies the effect of a misspecification of the error density on the mean integrated squared error (MISE) of the deconvolution estimator. He shows that the MISE converges to a certain functional which he defines. He also illustrates the fact that the limit can sometimes be infinite. Finally, he derives some guidelines for selecting the error density in order to ensure robustness properties of the procedure.",CANADIAN JOURNAL OF STATISTICS-REVUE CANADIENNE DE STATISTIQUE,32,2004
Discrete-time survival trees,"Tree-based methods are frequently used in studies with censored survival time. Their structure and ease of interpretability make them useful to identify prognostic factors and to predict conditional survival probabilities given all individual's covariates. The existing methods are tailor-made to deal with a survival time variable that is measured continuously. However, Survival variables measured on a discrete scale are often encountered in practice. The authors propose a new tree construction method specifically adapted to such discrete-time survival variables. The splitting procedure can be seen as an extension, to the case of right-censored data, of the entropy criterion for a categorical outcome. The selection of the final tree is made through a pruning algorithm combined with a bootstrap correction. The authors also present a simple way of potentially improving the predictive performance of a single tree through bagging. A simulation study shows that single trees and bagged-trees perform well compared to a parametric model. A real data example investigating the usefulness of personality dimensions in predicting early onset of cigarette smoking is presented. The Canadian Journal of Statistics 37: 17-32; 2009 (C) 2009 Statistical Society of Canada",CANADIAN JOURNAL OF STATISTICS-REVUE CANADIENNE DE STATISTIQUE,21,2009
New perspective on the benefits of the gene-environment independence in case-control studies,"We study the benefit of exploiting the gene-environment independence (GEI) assumption for inferring the joint effect of genotype and environmental exposure on disease risk in a case-control study. By transforming the problem into a constrained maximum likelihood estimation problem we derive the asymptotic distribution of the maximum likelihood estimator (MLE) under the GEI assumption (MLE-GEI) in a closed form. Our approach uncovers a transparent explanation of the efficiency gained by exploiting the GEI assumption in more general settings, thus bridging an important gap in the existing literature. Moreover, we propose an easy-to-implement numerical algorithm for estimating the model parameters in practice. Finally, we conduct simulation studies to compare the proposed method with the traditional prospective logistic regression method and the case-only estimator. The Canadian Journal of Statistics 47: 473-486; 2019 (c) 2019 Statistical Society of Canada",CANADIAN JOURNAL OF STATISTICS-REVUE CANADIENNE DE STATISTIQUE,0,2019
Hierarchical Bayesian small area estimation for circular data,"We consider small area estimation for the departure times of recreational anglers along theAtlantic and Gulf coasts of the United States. A Bayesian area-level Fay-Herriot model is considered to obtain estimates of the departure time distribution functions. The departure distribution functions are modelled as circular distributions plus area-specific errors. The circular distributions are modelled as projected normal, and a regression model is specified to borrow information across domains. Estimation is conducted through the use of a Hamiltonian Monte Carlo sampler and a projective approach onto the probability simplex. (C) 2016 Statistical Society of Canada",CANADIAN JOURNAL OF STATISTICS-REVUE CANADIENNE DE STATISTIQUE,4,2016
Nonlinear mixed-effect models with nonignorably missing covariates,"Nonlinear mixed-effect models are often used in the analysis of longitudinal data. However, it sometimes happens that missing values for some of the model covariates are not purely random. Motivated by an application to HIV viral dynamics, where this situation occurs, the author considers likelihood inference for this type of problem. His approach involves a Monte Carlo EM algorithm, along with a Gibbs sampler and rejection/importance sampling methods. A concrete application is provided.",CANADIAN JOURNAL OF STATISTICS-REVUE CANADIENNE DE STATISTIQUE,8,2004
On consistent testing for serial correlation in seasonal time series models,"The author considers serial correlation testing in seasonal time series models. He proposes a test statistic based on a spectral approach. Many tests of this type rely on kernel-based spectral density estimators that assign larger weights to low order lags than to high ones. Under seasonality, however, large autocorrelations may occur at seasonal lags that classical kernel estimators cannot take into account. The author thus proposes a test statistic that relies on the spectral density estimator of Shin (2004), whose weighting scheme is more adapted to this context. The distribution of his test statistic is derived under the null hypothesis and he studies its behaviour under fixed and local alternatives. He establishes the consistency of the test under a general fixed alternative. He also makes recommendations for the choice of the smoothing parameters. His simulation results suggest that his test is more powerful against seasonality than alternative procedures based on classical weighting schemes. He illustrates his procedure with monthly statistics on employment among young Americans.",CANADIAN JOURNAL OF STATISTICS-REVUE CANADIENNE DE STATISTIQUE,3,2007
A mixture of generalized hyperbolic distributions,"We introduce a mixture of generalized hyperbolic distributions as an alternative to the ubiquitous mixture of Gaussian distributions as well as their near relatives within which the mixture of multivariate t-distributions and the mixture of skew-t distributions predominate. The mathematical development of our mixture of generalized hyperbolic distributions model relies on its relationship with the generalized inverse Gaussian distribution. The latter is reviewed before our mixture models are presented along with details of the aforesaid reliance. Parameter estimation is outlined within the expectation-maximization framework before the clustering performance of our mixture models is illustrated via applications on simulated and real data. In particular, the ability of our models to recover parameters for data from underlying Gaussian and skew-t distributions is demonstrated. Finally, the role of generalized hyperbolic mixtures within the wider model-based clustering, classification, and density estimation literature is discussed. The Canadian Journal of Statistics 43: 176-198; 2015 (c) 2015 Statistical Society of Canada",CANADIAN JOURNAL OF STATISTICS-REVUE CANADIENNE DE STATISTIQUE,99,2015
Adaptive Artificial Neural Network in near infrared spectroscopy for standard-free calibration transfer,"Near infrared spectroscopy (NIRS) is a secondary analytical method that could use machine learning to predict components of interest for various applications. Calibration transfer (CT) algorithms have been used to transfer the existing NIRS calibration model to another NIRS instruments to reduce the involvement of expensive and tedious conventional chemical analytical methods. However, most of CT algorithms involve both primary and secondary instruments to acquire NIRS signals from standard samples for spectral standardization. On the other hand, artificial neural network (ANN) that can adapt to new environmental conditions may be an alternative standard-free CT algorithm in transferring a trained ANN to secondary instruments without the involvement of the primary instrument. Although ANN has been widely implemented in NIRS research as a calibration model, its feasibility as an alternative CT method has not been evaluated. Thus, this study evaluates the feasibility of an adaptive ANN (AANN) in transferring ANN model from primary to secondary instruments using two traceable NIRS datasets. First, ANN and ANN with principal components (PCs-ANN) were developed and optimized using Bayesian learning algorithm. After that, these ANNs were adapted to secondary instruments using respective transfer data, in which, only the weights and biases of the ANNs were updated. Findings show that the lowest averaged RMSEP was achieved by the proposed PCs-AANN and AANN in the corn and wheat datasets, respec-tively. Particularly, the computation cost of having a calibration model in secondary instruments has been substantially reduced by means of the proposed AANN algorithm.",CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,3,2022
A novel nonlinear adaptive Mooney-viscosity model based on DRPLS-GP algorithm for rubber mixing process,"Rubber-mixing process is a typical non-linear batch process with very short operation time (commonly, 2-5min). The large measurement delay of Mooney-viscosity, one of the key quality indexes of mixed rubber, strongly restricts further improvement of the quality of final rubber products and the development of rubber-mixing process control. A novel nonlinear adaptive Mooney-viscosity prediction model based on Discounted-measurement Recursive Partial Least Squares-Gaussian Process (DRPLS-GP) algorithm is developed. Using rheological parameters as the input variables, which could be measured online, the measurement delay of Mooney-viscosity is markedly reduced from about 240 min to 2 min. In DRPLS-GP model, to overcome the noise and the multi-collinearity of original data, orthogonal latent variables (LVs) are extracted by Discounted-measurement Recursive Partial Least Squares (DRPLS) firstly, and then the LVs are inputted to Gaussian Process (GP) as predictors for further regression. Thus relying on the nonlinear regression power of GP and the multivariate regression power of DRPLS, the nonlinear relationship between rheological parameters and Mooney-viscosity could be regressed successfully by DRPLS-GP. In particular, this method could update Mooney-viscosity prediction model without increasing the computation and sampling burden, so it is very practical for industrial application. Moreover, the flexibility of discounted-measurement factor of the novel method ensures the high precise prediction of Mooney-viscosity of different mixed rubber formulas. The results which are obtained by using of 1006 industrial data sampled in a large-scale tire factory located in east China confirm that the predictive performance of DRPLS-GP is superior to other approaches. Crown Copyright (c) 2011 Published by Elsevier B.V. All rights reserved.",CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,25,2012
